target,group,feature,lag_weeks,corr,abs_corr,n_obs
Binhits,world,brent,4,-0.03940052928352334,0.03940052928352334,218
Binhits,world,brent_13w_pct,0,0.04053446080040291,0.04053446080040291,222
Binhits,world,brent_4w_pct,1,0.12534227979722515,0.12534227979722515,221
Binhits,world,container_market_index,0,-0.20783371837790937,0.20783371837790937,222
Binhits,world,container_stress_index,0,0.14292716589256071,0.14292716589256071,222
Binhits,world,copper,1,0.14272334004182438,0.14272334004182438,221
Binhits,world,copper_13w_pct,4,-0.10692950017705491,0.10692950017705491,218
Binhits,world,copper_4w_pct,1,0.09923025870479385,0.09923025870479385,221
Binhits,world,cz_diesel_price,0,0.083754073338318,0.083754073338318,222
Binhits,world,cz_diesel_price_13w_pct,4,-0.06572932188442414,0.06572932188442414,218
Binhits,world,cz_diesel_price_4w_pct,0,0.17414082983925938,0.17414082983925938,222
Binhits,world,de_diesel_price,0,0.1842086226266994,0.1842086226266994,222
Binhits,world,de_diesel_price_13w_pct,0,0.11797022796379544,0.11797022796379544,222
Binhits,world,de_diesel_price_4w_pct,0,0.2841582224766163,0.2841582224766163,222
Binhits,world,de_ppi_c24_c25,0,0.1787020611658735,0.1787020611658735,222
Binhits,world,de_ppi_c24_c25_13w_pct,1,0.06093168573738603,0.06093168573738603,221
Binhits,world,de_ppi_c24_c25_4w_pct,4,0.11241603371908968,0.11241603371908968,218
Binhits,world,de_prod_c24_c25,2,-0.10936356610344453,0.10936356610344453,220
Binhits,world,de_prod_c24_c25_13w_pct,2,-0.2320182626669025,0.2320182626669025,220
Binhits,world,de_prod_c24_c25_4w_pct,3,-0.13522177153247872,0.13522177153247872,219
Binhits,world,de_prod_c25,2,-0.14629883204713412,0.14629883204713412,220
Binhits,world,de_prod_c25_13w_pct,3,-0.3041743959997086,0.3041743959997086,219
Binhits,world,de_prod_c25_4w_pct,3,-0.19453732823962888,0.19453732823962888,219
Binhits,world,de_prod_c28,4,-0.07279654571585706,0.07279654571585706,218
Binhits,world,de_prod_c28_13w_pct,3,0.08803175798005121,0.08803175798005121,219
Binhits,world,de_prod_c28_4w_pct,3,0.11137005869740974,0.11137005869740974,219
Binhits,world,de_prod_c29,4,-0.14914305146932955,0.14914305146932955,218
Binhits,world,de_prod_c29_13w_pct,2,0.0651432851437931,0.0651432851437931,220
Binhits,world,de_prod_c29_4w_pct,2,0.13661252589606337,0.13661252589606337,220
Binhits,world,ea_ppi_mig_ing,0,0.08230295751907117,0.08230295751907117,222
Binhits,world,ea_ppi_mig_ing_13w_pct,3,0.06339468557079257,0.06339468557079257,219
Binhits,world,ea_ppi_mig_ing_4w_pct,4,0.074786432009416,0.074786432009416,218
Binhits,world,ea_prod_c25,2,-0.08256983551116782,0.08256983551116782,220
Binhits,world,ea_prod_c25_13w_pct,3,-0.22125492841831898,0.22125492841831898,219
Binhits,world,ea_prod_c25_4w_pct,2,-0.09356817064148748,0.09356817064148748,220
Binhits,world,ea_prod_mig_cag,4,-0.03932421089956732,0.03932421089956732,218
Binhits,world,ea_prod_mig_cag_13w_pct,3,0.08954741759346477,0.08954741759346477,219
Binhits,world,ea_prod_mig_cag_4w_pct,3,0.20359735321942868,0.20359735321942868,219
Binhits,world,ea_prod_mig_ing,3,0.03364111813639538,0.03364111813639538,219
Binhits,world,ea_prod_mig_ing_13w_pct,1,0.0453397336489352,0.0453397336489352,221
Binhits,world,ea_prod_mig_ing_4w_pct,2,0.145082328952985,0.145082328952985,220
Binhits,world,energy_stress_index,0,0.20315217750467582,0.20315217750467582,222
Binhits,world,esab_close,0,0.04579238370122916,0.04579238370122916,222
Binhits,world,esab_close_13w_pct,1,-0.23004451561202505,0.23004451561202505,221
Binhits,world,esab_close_4w_pct,0,-0.1246642637668277,0.1246642637668277,222
Binhits,world,eu_diesel_price,0,0.11221806280265811,0.11221806280265811,222
Binhits,world,eu_diesel_price_13w_pct,4,-0.05454320696031099,0.05454320696031099,218
Binhits,world,eu_diesel_price_4w_pct,0,0.20277911521922076,0.20277911521922076,222
Binhits,world,eu_gas,1,0.27794829378599356,0.27794829378599356,221
Binhits,world,eu_gas_13w_pct,1,0.3668516544490998,0.3668516544490998,221
Binhits,world,eu_gas_4w_pct,3,0.20461934089288003,0.20461934089288003,219
Binhits,world,eur_diesel_price,0,0.11652338735634113,0.11652338735634113,222
Binhits,world,eur_diesel_price_13w_pct,4,-0.053222811480964465,0.053222811480964465,218
Binhits,world,eur_diesel_price_4w_pct,0,0.20743220164806728,0.20743220164806728,222
Binhits,world,europe_demand_index,2,-0.2169497987354318,0.2169497987354318,220
Binhits,world,export_risk_index,0,-0.18571452097810545,0.18571452097810545,222
Binhits,world,geo_event_index,1,0.20560465725590635,0.20560465725590635,221
Binhits,world,gscpi,4,0.146090830613478,0.146090830613478,218
Binhits,world,gscpi_13w_pct,1,0.09609902123928328,0.09609902123928328,221
Binhits,world,gscpi_4w_delta,1,-0.1294487673839258,0.1294487673839258,221
Binhits,world,gscpi_4w_pct,4,-0.0705588148808825,0.0705588148808825,218
Binhits,world,gscpi_pub_safe,4,0.17059133484153852,0.17059133484153852,218
Binhits,world,gscpi_pub_safe_4w_delta,0,-0.09626544797002048,0.09626544797002048,222
Binhits,world,industry_demand_index,2,-0.1261829824468473,0.1261829824468473,220
Binhits,internal,loaded_bridge_day,0,0.40382661367775713,0.40382661367775713,222
Binhits,internal,loaded_container_share,0,-0.2219614266224445,0.2219614266224445,222
Binhits,internal,loaded_days_to_month_end,0,0.12249892720887144,0.12249892720887144,222
Binhits,internal,loaded_europe_share,0,0.5293642299060465,0.5293642299060465,222
Binhits,internal,loaded_expected_days,0,0.29583698297670646,0.29583698297670646,222
Binhits,internal,loaded_export_share,0,-0.36075662707230416,0.36075662707230416,222
Binhits,internal,loaded_first_business_day,4,-0.08624096560378537,0.08624096560378537,218
Binhits,internal,loaded_gross_tons,0,0.6201045494848525,0.6201045494848525,222
Binhits,internal,loaded_is_business_day,0,0.5453999105296661,0.5453999105296661,222
Binhits,internal,loaded_is_month_end,4,-0.06401390585237582,0.06401390585237582,218
Binhits,internal,loaded_is_month_start,4,-0.08623254609345919,0.08623254609345919,218
Binhits,internal,loaded_last_business_day,4,-0.0779319286141031,0.0779319286141031,218
Binhits,internal,loaded_number_of_workdays_in_month,0,0.5068561649447344,0.5068561649447344,222
Binhits,internal,loaded_number_of_workdays_in_week,0,0.4944254556891178,0.4944254556891178,222
Binhits,internal,loaded_observed_days,0,0.6220150916143774,0.6220150916143774,222
Binhits,internal,loaded_orders_nunique,0,0.7285925214496595,0.7285925214496595,222
Binhits,internal,loaded_orders_per_trip,0,0.4534568812917511,0.4534568812917511,222
Binhits,internal,loaded_tons_per_trip,0,0.2815022096619501,0.2815022096619501,222
Binhits,internal,loaded_trips_europe,0,0.704128387876857,0.704128387876857,222
Binhits,internal,loaded_trips_export,0,0.38981900905866324,0.38981900905866324,222
Binhits,internal,loaded_workday_in_month,0,0.1116243054839481,0.1116243054839481,222
Binhits,world,local_operability_index,0,0.13675664157304612,0.13675664157304612,222
Binhits,world,overall_world_risk_index,1,0.16584917728488197,0.16584917728488197,221
Binhits,internal,packed_binhits_per_vydejka,0,-0.20498462823369507,0.20498462823369507,222
Binhits,internal,packed_bridge_day,0,0.41551367799705163,0.41551367799705163,222
Binhits,internal,packed_cartons_count,0,0.7526392734942893,0.7526392734942893,222
Binhits,internal,packed_cartons_per_pallet,2,0.10588278460939955,0.10588278460939955,220
Binhits,internal,packed_days_to_month_end,1,0.11879835442263192,0.11879835442263192,221
Binhits,internal,packed_first_business_day,4,-0.08624096560378537,0.08624096560378537,218
Binhits,internal,packed_gross_tons,0,0.9562270323393672,0.9562270323393672,222
Binhits,internal,packed_is_business_day,0,0.5570717922411161,0.5570717922411161,222
Binhits,internal,packed_is_month_end,4,-0.1480891110614042,0.1480891110614042,218
Binhits,internal,packed_is_month_start,4,-0.08932955997797934,0.08932955997797934,218
Binhits,internal,packed_last_business_day,4,-0.0779319286141031,0.0779319286141031,218
Binhits,internal,packed_number_of_workdays_in_month,0,0.44841002584341255,0.44841002584341255,222
Binhits,internal,packed_number_of_workdays_in_week,0,0.5528403968742593,0.5528403968742593,222
Binhits,internal,packed_observed_days,0,0.5115963047693063,0.5115963047693063,222
Binhits,internal,packed_pallets_count,0,0.6120644918672912,0.6120644918672912,222
Binhits,internal,packed_tons_per_pallet,0,0.3750205817073586,0.3750205817073586,222
Binhits,internal,packed_vydejky_unique,0,0.1944113493534134,0.1944113493534134,222
Binhits,internal,packed_workday_in_month,0,0.17389895836664782,0.17389895836664782,222
Binhits,world,rwi_north_adjusted,3,0.18158468787916027,0.18158468787916027,219
Binhits,world,rwi_north_adjusted_13w_pct,0,-0.06418716995176633,0.06418716995176633,222
Binhits,world,rwi_north_adjusted_4w_pct,3,0.1361044295894644,0.1361044295894644,219
Binhits,world,rwi_north_original,1,0.1841780560279144,0.1841780560279144,221
Binhits,world,rwi_north_original_13w_pct,0,0.10883148454834532,0.10883148454834532,222
Binhits,world,rwi_north_original_4w_pct,1,0.10812865123647408,0.10812865123647408,221
Binhits,world,rwi_north_trend,4,0.23953008277357357,0.23953008277357357,218
Binhits,world,rwi_north_trend_13w_pct,0,-0.05936624767585121,0.05936624767585121,222
Binhits,world,rwi_north_trend_4w_pct,4,-0.07584282437408736,0.07584282437408736,218
Binhits,world,rwi_total_adjusted,4,0.17059516234085736,0.17059516234085736,218
