target,group,feature,lag_weeks,corr,abs_corr,n_obs
Binhits,warehouse,wh_packing_lines,0,0.9787047092613415,0.9787047092613415,221
Binhits,internal,packed_gross_tons,0,0.9562270323393672,0.9562270323393672,222
Binhits,warehouse,wh_packing_gross_kg,0,0.9043022569104968,0.9043022569104968,221
Binhits,warehouse,wh_packing_volume_dm3,0,0.8991755078518302,0.8991755078518302,221
Binhits,internal,warehouse_pressure_index,0,0.8617408213072332,0.8617408213072332,222
Binhits,internal,packed_cartons_count,0,0.7526392734942893,0.7526392734942893,222
Binhits,internal,loaded_orders_nunique,0,0.7285925214496595,0.7285925214496595,222
Binhits,warehouse,wh_packing_orders,0,0.7168210383642691,0.7168210383642691,221
Binhits,internal,loaded_trips_europe,0,0.704128387876857,0.704128387876857,222
Binhits,warehouse,wh_outbound_docs,0,0.6991153102664645,0.6991153102664645,221
Binhits,warehouse,wh_outbound_orders,0,0.6991092253171367,0.6991092253171367,221
Binhits,warehouse,wh_packing_lines,1,0.6891149168351199,0.6891149168351199,220
Binhits,warehouse,wh_outbound_load_units,0,0.6653699771271911,0.6653699771271911,221
Binhits,internal,packed_gross_tons,1,0.6249158353735258,0.6249158353735258,221
Binhits,internal,loaded_observed_days,0,0.6220150916143774,0.6220150916143774,222
Binhits,internal,loaded_gross_tons,0,0.6201045494848525,0.6201045494848525,222
Binhits,internal,packed_pallets_count,0,0.6120644918672912,0.6120644918672912,222
Binhits,warehouse,wh_packing_volume_dm3,1,0.6024243455219386,0.6024243455219386,220
Binhits,warehouse,wh_packing_gross_kg,1,0.5877597541027686,0.5877597541027686,220
Binhits,warehouse,wh_outbound_cbm,0,0.5865359099443039,0.5865359099443039,221
Binhits,warehouse,wh_outbound_gross_kg,0,0.5842943138301978,0.5842943138301978,221
Binhits,internal,packed_is_business_day,0,0.5570717922411161,0.5570717922411161,222
Binhits,internal,packed_number_of_workdays_in_week,0,0.5528403968742593,0.5528403968742593,222
Binhits,internal,loaded_is_business_day,0,0.5453999105296661,0.5453999105296661,222
Binhits,internal,loaded_europe_share,0,0.5293642299060465,0.5293642299060465,222
Binhits,internal,packed_observed_days,0,0.5115963047693063,0.5115963047693063,222
Binhits,internal,loaded_number_of_workdays_in_month,0,0.5068561649447344,0.5068561649447344,222
Binhits,internal,loaded_number_of_workdays_in_week,0,0.4944254556891178,0.4944254556891178,222
Binhits,internal,warehouse_pressure_index,1,0.49144907536262944,0.49144907536262944,221
Binhits,warehouse,wh_inbound_consumables_gross_kg,0,0.48132752453060895,0.48132752453060895,215
Binhits,internal,loaded_orders_per_trip,0,0.4534568812917511,0.4534568812917511,222
Binhits,internal,packed_cartons_count,1,0.45002556600632826,0.45002556600632826,221
