date,iso_year,iso_week,iso_weekday,binhits,gross_tons,cartons_count,pallets_count,vydejky_unique
2024-01-01,2024,1,1,80,18.555,7,11,9
2024-01-02,2024,1,2,1746,744.121,283,707,484
2024-01-03,2024,1,3,2550,1034.43344,350,1140,632
2024-01-04,2024,1,4,2441,842.39102,343,807,542
2024-01-05,2024,1,5,2016,711.9251,375,714,561
2024-01-06,2024,1,6,49,30.50989,0,38,16
2024-01-08,2024,2,1,2085,791.85154,410,788,591
2024-01-09,2024,2,2,2333,813.33721,373,794,569
2024-01-10,2024,2,3,2270,678.68528,402,784,565
2024-01-11,2024,2,4,2439,797.2202,433,817,606
2024-01-12,2024,2,5,2335,917.01467,351,946,595
2024-01-13,2024,2,6,310,101.24467,1,83,58
2024-01-14,2024,2,7,16,2.14352,1,7,7
2024-01-15,2024,3,1,1887,594.87476,399,701,570
2024-01-16,2024,3,2,2412,860.543195,374,886,596
2024-01-17,2024,3,3,2479,756.27642,380,820,589
2024-01-18,2024,3,4,2513,839.09493,404,943,678
2024-01-19,2024,3,5,2225,761.24839,376,826,538
2024-01-20,2024,3,6,317,188.69801999999999,8,202,19
2024-01-21,2024,3,7,36,11.55535,0,7,4
2024-01-22,2024,4,1,2269,720.77721,384,758,602
2024-01-23,2024,4,2,2794,1037.96694,436,1025,646
2024-01-24,2024,4,3,2980,1040.67112,448,1085,685
2024-01-25,2024,4,4,2903,1297.62757,362,1308,627
2024-01-26,2024,4,5,2052,783.50475,345,826,520
2024-01-27,2024,4,6,266,92.9876,1,88,52
2024-01-28,2024,4,7,119,28.555,0,9,3
2024-01-29,2024,5,1,2265,800.66366,384,860,623
2024-01-30,2024,5,2,2703,988.08074,400,978,641
2024-01-31,2024,5,3,2843,1010.45496,399,1096,624
2024-02-01,2024,5,4,2607,985.07322,382,971,602
2024-02-02,2024,5,5,2558,946.61324,427,944,660
2024-02-03,2024,5,6,338,138.8567,14,85,54
2024-02-04,2024,5,7,42,8.65255,10,6,6
2024-02-05,2024,6,1,2265,869.64199,349,852,560
2024-02-06,2024,6,2,2704,888.56451,411,909,616
2024-02-07,2024,6,3,2601,826.94956,503,870,719
2024-02-08,2024,6,4,2958,1101.28741,422,1011,641
2024-02-09,2024,6,5,2255,818.66622,427,846,603
2024-02-10,2024,6,6,292,145.71392,12,117,52
2024-02-11,2024,6,7,28,2.86984,0,6,6
2024-02-12,2024,7,1,2612,975.206,449,1124,678
2024-02-13,2024,7,2,2809,988.29313,412,978,683
2024-02-14,2024,7,3,2764,910.71587,441,1043,736
2024-02-15,2024,7,4,2720,965.43458,405,984,606
2024-02-16,2024,7,5,2339,883.56025,376,885,581
2024-02-17,2024,7,6,508,220.07161,14,178,46
2024-02-18,2024,7,7,24,16.64214,0,15,5
2024-02-19,2024,8,1,2467,887.29326,404,903,611
2024-02-20,2024,8,2,2670,1019.14172,424,1109,666
2024-02-21,2024,8,3,2606,763.33945,449,848,707
2024-02-22,2024,8,4,2654,1061.88748,398,1147,633
2024-02-23,2024,8,5,2647,926.79416,402,998,623
2024-02-24,2024,8,6,411,172.63926,6,191,35
2024-02-25,2024,8,7,60,6.04354,0,47,5
2024-02-26,2024,9,1,2308,673.34175,390,677,565
2024-02-27,2024,9,2,3067,1230.75571,465,1154,679
2024-02-28,2024,9,3,2839,936.48525,502,1010,708
2024-02-29,2024,9,4,2587,1144.77281,303,1163,602
2024-03-01,2024,9,5,2516,1092.40265,325,1030,534
2024-03-02,2024,9,6,397,220.6553,6,244,49
2024-03-04,2024,10,1,2129,830.21553,340,831,530
2024-03-05,2024,10,2,2879,963.67099,523,975,656
2024-03-06,2024,10,3,2679,802.7689,437,803,675
2024-03-07,2024,10,4,2877,1173.38356,386,1171,621
2024-03-08,2024,10,5,2580,939.06005,453,988,638
