iso_year,typ_obalu,class,unique_paleta_cislo
2021,B3,Paleta,14
2021,BX5,Karton,9
2021,S1,Paleta,10
2021,ST1,Paleta,6
2021,ST2,Paleta,16
2022,B1,Paleta,73
2022,B2,Paleta,3322
2022,B3,Paleta,27385
2022,B4,Paleta,11211
2022,BX1,Karton,1
2022,BX2,Karton,11
2022,BX3,Karton,2
2022,BX5,Karton,25032
2022,OP1,Paleta,1725
2022,OP2,Paleta,1287
2022,OP3,Paleta,244
2022,OP4,Paleta,284
2022,OP5,Paleta,1604
2022,S1,Paleta,6237
2022,S2,Paleta,2775
2022,S3,Paleta,2214
2022,S4,Paleta,3898
2022,ST1,Paleta,6444
2022,ST2,Paleta,55629
2022,ST3,Paleta,44860
2022,ST4,Paleta,34390
2022,XCR,Karton,1138
2022,XPL,Paleta,3162
2022,B3,Paleta,1
2022,BX5,Karton,16
2022,S1,Paleta,2
2022,ST1,Paleta,7
2022,ST2,Paleta,15
2022,ST3,Paleta,8
2022,XCR,Karton,4
2023,B1,Paleta,376
2023,B2,Paleta,2830
2023,B3,Paleta,35989
2023,B4,Paleta,5552
2023,BV5,Karton,1
2023,BX1,Karton,26
2023,BX2,Karton,46
2023,BX3,Karton,2
2023,BX5,Karton,93756
2023,EUR180,Paleta,1
2023,OP1,Paleta,1882
2023,OP2,Paleta,1005
2023,OP3,Paleta,164
2023,OP4,Paleta,342
2023,OP5,Paleta,875
2023,S1,Paleta,18590
2023,S2,Paleta,6662
2023,S3,Paleta,2952
2023,S4,Paleta,3482
2023,ST1,Paleta,12476
2023,ST2,Paleta,64363
2023,ST3,Paleta,47304
2023,ST4,Paleta,22684
2023,XCR,Karton,3076
2023,XPL,Paleta,3000
2024,B1,Paleta,221
2024,B2,Paleta,2771
2024,B3,Paleta,32493
2024,B4,Paleta,7871
2024,BX1,Karton,8640
2024,BX2,Karton,4495
2024,BX3,Karton,3492
2024,BX4,Karton,1210
2024,BX5,Karton,60385
2024,BX6,Karton,2978
2024,BX7,Karton,8148
2024,BX8,Karton,3715
2024,BX9,Karton,658
2024,EUR140,Paleta,1
2024,EUR80,Paleta,1
2024,OP1,Paleta,1393
2024,OP2,Paleta,2134
2024,OP3,Paleta,162
2024,OP4,Paleta,280
2024,OP5,Paleta,438
2024,OP7,Paleta,1
2024,S1,Paleta,22242
2024,S2,Paleta,5507
2024,S3,Paleta,1918
2024,S4,Paleta,4716
2024,ST1,Paleta,13185
2024,ST2,Paleta,69984
2024,ST3,Paleta,45527
2024,ST4,Paleta,18813
2024,XCR,Karton,2964
2024,XPL,Paleta,4159
2025,BX1,Karton,58
2025,BX2,Karton,16
2025,BX3,Karton,4
2025,BX4,Karton,1
2025,BX5,Karton,62
2025,BX6,Karton,10
2025,BX7,Karton,81
2025,BX8,Karton,20
2025,S1,Paleta,16
2025,ST1,Paleta,2
2025,ST2,Paleta,9
2025,ST3,Paleta,9
2025,ATP180,Paleta,1
2025,B1,Paleta,186
2025,B2,Paleta,2704
2025,B3,Paleta,26150
2025,B4,Paleta,16625
2025,BX1,Karton,18743
2025,BX2,Karton,11668
2025,BX3,Karton,7971
2025,BX4,Karton,1905
2025,BX5,Karton,22104
2025,BX6,Karton,6087
2025,BX7,Karton,22071
2025,BX8,Karton,8720
2025,BX9,Karton,1379
2025,OP1,Paleta,1244
2025,OP2,Paleta,1440
2025,OP3,Paleta,319
2025,OP4,Paleta,221
2025,OP5,Paleta,252
2025,OP8,Paleta,2
2025,S1,Paleta,23232
2025,S2,Paleta,4641
2025,S3,Paleta,2113
2025,S4,Paleta,5860
2025,ST1,Paleta,19669
2025,ST2,Paleta,59253
2025,ST3,Paleta,55892
2025,ST4,Paleta,16275
2025,XCR,Karton,3982
2025,XPL,Paleta,4886
2026,B2,Paleta,3
2026,B3,Paleta,40
2026,B4,Paleta,55
2026,BX1,Karton,51
2026,BX2,Karton,27
2026,BX3,Karton,4
2026,BX4,Karton,7
2026,BX5,Karton,41
2026,BX6,Karton,5
2026,BX7,Karton,77
2026,BX8,Karton,25
2026,BX9,Karton,7
2026,OP2,Paleta,19
2026,S1,Paleta,14
2026,S2,Paleta,26
2026,S3,Paleta,2
2026,S4,Paleta,2
2026,ST1,Paleta,65
2026,ST2,Paleta,73
2026,ST3,Paleta,7
2026,ST4,Paleta,109
2026,XCR,Karton,42
2026,XPL,Paleta,29
2026,B1,Paleta,39
2026,B2,Paleta,454
2026,B3,Paleta,6883
2026,B4,Paleta,4446
2026,BX1,Karton,4836
2026,BX2,Karton,2681
2026,BX3,Karton,2249
2026,BX4,Karton,364
2026,BX5,Karton,5632
2026,BX6,Karton,1434
2026,BX7,Karton,4631
2026,BX8,Karton,1526
2026,BX9,Karton,523
2026,OP1,Paleta,12
2026,OP2,Paleta,6
2026,OP3,Paleta,5
2026,S1,Paleta,4782
2026,S2,Paleta,1259
2026,S3,Paleta,521
2026,S4,Paleta,1981
2026,ST1,Paleta,5925
2026,ST2,Paleta,15426
2026,ST3,Paleta,14700
2026,ST4,Paleta,4883
2026,XCR,Karton,876
2026,XPL,Paleta,348
