date,receipts_lines,receipts_brutto_kg,receipts_netto_kg,receipts_qty,receipts_cbm,receipts_consumables_kg,receipts_equipment_kg,receipts_other_kg,receipts_docs,receipts_aviza,receipts_unloads,receipts_articles,receipts_suppliers,receipts_countries
2022-01-03,293.0,26057.91,0.0,39586.0,21.846,4204.15,19266.11,2587.65,63.0,62.0,22.0,112.0,15.0,10.0
2022-01-04,344.0,68243.81999999999,0.0,17610.0,57.771,57861.42,7086.74,3295.66,112.0,112.0,34.0,117.0,17.0,11.0
2022-01-05,618.0,125968.48,0.0,91093.0,135.315,108473.99,11922.17,5572.32,122.0,122.0,69.0,233.0,16.0,9.0
2022-01-06,315.0,73196.69,0.0,36944.0,71.429,68131.78,3637.5299999999997,1427.38,53.0,52.0,53.0,126.0,22.0,11.0
2022-01-07,341.0,129977.28,0.0,40213.0,113.625,119164.51,8032.93,2779.84,81.0,81.0,42.0,137.0,18.0,10.0
2022-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-09,310.0,292448.52,0.0,10350.0,354.195,292448.52,0.0,0.0,6.0,6.0,6.0,31.0,1.0,1.0
2022-01-10,646.0,373021.83,0.0,38594.0,404.33799999999997,364225.18,6118.98,2677.67,95.0,95.0,43.0,128.0,20.0,10.0
2022-01-11,554.0,354469.07,0.0,20909.0,429.016,349996.24,1365.78,3107.05,80.0,80.0,45.0,141.0,17.0,9.0
2022-01-12,664.0,262243.5,0.0,22335.0,298.803,251584.38,8665.15,1993.97,121.0,121.0,40.0,225.0,22.0,7.0
2022-01-13,1309.0,885569.39,0.0,126206.0,1071.411,870612.77,4098.7,10857.92,119.0,119.0,80.0,276.0,21.0,10.0
2022-01-14,999.0,382963.93,0.0,71451.0,471.777,373750.27,4828.89,4384.77,130.0,129.0,65.0,425.0,14.0,7.0
2022-01-15,100.0,102652.2,0.0,3458.0,124.60799999999999,102652.2,0.0,0.0,2.0,2.0,2.0,23.0,1.0,1.0
2022-01-16,660.0,600465.94,0.0,20651.0,745.855,600465.94,0.0,0.0,12.0,12.0,12.0,90.0,1.0,1.0
2022-01-17,932.0,574162.84,0.0,49484.0,638.716,561950.04,10175.29,2037.51,97.0,96.0,56.0,222.0,22.0,12.0
2022-01-18,724.0,386699.09,0.0,43432.0,445.851,379532.22,3438.73,3728.14,115.0,115.0,54.0,229.0,18.0,10.0
2022-01-19,1310.0,942290.23,0.0,42792.0,1142.543,934988.13,4173.65,3128.45,107.0,105.0,55.0,231.0,18.0,11.0
2022-01-20,528.0,227907.27,0.0,13875.0,280.999,216941.07,2860.14,8106.06,102.0,102.0,35.0,184.0,20.0,9.0
2022-01-21,1071.0,752772.35,0.0,45875.0,874.819,723626.02,10708.609999999999,18437.72,103.0,103.0,45.0,209.0,16.0,9.0
2022-01-22,190.0,143396.33,0.0,7557.0,187.987,143396.33,0.0,0.0,5.0,5.0,3.0,59.0,1.0,1.0
2022-01-23,780.0,677589.36,0.0,20776.0,894.121,677589.36,0.0,0.0,14.0,14.0,14.0,111.0,1.0,1.0
