date,iso_year,iso_week,iso_weekday,binhits,gross_tons,cartons_count,pallets_count,vydejky_unique,packed_day_binhits,packed_night_binhits,trips_total,containers_count,loaded_orders_nunique,loaded_gross_tons,inbound_gross_kg,inbound_docs,packing_orders,packing_pallets,att_headcount,att_kmen_headcount,att_agency_headcount,day_att_headcount,night_att_headcount,att_kmen_early_headcount,att_kmen_late_headcount,att_agency_day_headcount,att_agency_night_headcount,helper_paid_hours_total,helper_esab_share,helper_esab_paid_hours,helper_esab_fte_8h,manual_any_filled,selected_total_people,selected_kmen,selected_agency,selected_kmen_early,selected_kmen_late,selected_agency_day,selected_agency_night,weekday,paid_hours_total,esab_share,att_hours,esab_fte_8h,required_reference_fte_8h
2022-01-02,2021,52,7,57,31.45688,9,46,0,0.0,57.0,,,,,,,,,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Sunday,,0.7114913912827506,,,
2022-01-03,2022,1,1,2388,919.23006,406,1217,0,1528.0,860.0,34.0,0.0,420.0,463.9371,26057.91,63.0,337.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Monday,,0.7114913912827506,,,
2022-01-04,2022,1,2,2911,1202.73809,239,1688,0,1980.0,931.0,56.0,0.0,500.0,792.70307,68243.81999999999,112.0,483.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Tuesday,,0.7114913912827506,,,
2022-01-05,2022,1,3,2230,806.22758,394,1184,0,1479.0,751.0,48.0,4.0,473.0,611.3853,125968.48,122.0,462.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Wednesday,,0.7114913912827506,,,
2022-01-06,2022,1,4,1831,639.87094,332,1052,0,1125.0,706.0,45.0,2.0,474.0,509.14952,73196.69,53.0,454.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Thursday,,0.7114913912827506,,,
2022-01-07,2022,1,5,1610,485.87509,358,787,0,994.0,616.0,42.0,1.0,390.0,344.26294,129977.28,81.0,385.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Friday,,0.7114913912827506,,,
2022-01-08,2022,1,6,169,49.40724,8,134,0,0.0,169.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Saturday,,0.7114913912827506,,,
2022-01-10,2022,2,1,2030,748.791,300,1030,0,1063.0,967.0,45.0,2.0,494.0,431.38076,373021.83,95.0,492.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Monday,,0.7114913912827506,,,
2022-01-11,2022,2,2,1959,560.34603,441,935,0,1246.0,713.0,40.0,1.0,469.0,271.66508,354469.07,80.0,460.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Tuesday,,0.7114913912827506,,,
2022-01-12,2022,2,3,1814,572.68133,433,827,0,1116.0,698.0,38.0,1.0,383.0,330.7074,262243.5,121.0,405.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Wednesday,,0.7114913912827506,,,
2022-01-13,2022,2,4,2188,706.94089,417,1093,0,1549.0,639.0,43.0,1.0,551.0,418.58391,885569.39,119.0,546.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Thursday,,0.7114913912827506,,,
2022-01-14,2022,2,5,2243,733.17974,533,1007,0,1483.0,760.0,54.0,4.0,670.0,554.95405,382963.93,130.0,668.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Friday,,0.7114913912827506,,,
2022-01-15,2022,2,6,299,88.83366,0,246,0,0.0,299.0,,,,,102652.2,2.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Saturday,,0.7114913912827506,,,
