date,weekday,forecast_day_binhits,forecast_night_binhits,forecast_binhits,forecast_loaded_orders,forecast_trips_total,forecast_containers_count,forecast_loaded_gross_tons,forecast_inbound_gross_kg,required_fte_8h,required_paid_hours,required_headcount,required_headcount_ceiling,capacity_gap_headcount,required_kmen_early,required_kmen_late,required_agency_day,required_agency_night,required_kmen,required_agency,required_day_shift_workers,required_night_shift_workers,required_productive_workers,required_productive_workers_ceiling,fte_model,fte_profile_source,required_kmen_inbound_morning,required_kmen_inbound_afternoon,required_kmen_loading_morning,required_kmen_loading_afternoon,required_kmen_pick_morning,required_kmen_pick_afternoon,required_kmen_other_morning,required_kmen_other_afternoon,required_agency_inbound_day,required_agency_inbound_night,required_agency_loading_day,required_agency_loading_night,required_agency_pick_day,required_agency_pick_night,required_agency_other_day,required_agency_other_night
2026-03-29,Sunday,251.51322776476087,132.0005600483913,383.51378781315213,678.36875,76.13342470222312,5.72875,872.4418275139898,406097.28467029013,46.6152136141889,372.9217089135112,32.0,32,19,0,3,0,29,3,29,0,32,47,47,baseline,manual_or_suggested_history,0,3,0,0,0,0,0,0,0,10,0,0,0,19,0,0
2026-03-30,Monday,1867.237502414227,791.4071192605481,2658.6446216747754,658.67796875,72.93854447216461,7.7969687500000004,867.0347464850845,445658.5689685333,53.651275002156474,429.2102000172518,39.0,39,0,9,0,19,11,9,30,28,11,54,54,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,1,1,0,0,17,10,1,0
2026-03-31,Tuesday,2091.510027608614,1072.4345698031582,3163.9445974117725,696.09491796875,68.54862085845876,6.44189296875,830.9804859932515,408782.07640219247,54.04605697806998,432.3684558245598,39.0,39,0,9,0,20,10,9,30,29,10,54,55,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,2,1,0,0,18,9,0,0
2026-04-01,Wednesday,1740.8243841039666,933.3097862574961,2674.1341703614626,614.9222909179688,64.44654689862514,7.02794029296875,713.4310082787258,368150.3579692449,61.90469715570565,495.2375772456452,45.0,45,0,11,0,21,13,11,34,32,13,62,62,baseline,manual_or_suggested_history,7,0,0,0,4,0,0,0,0,1,0,0,21,12,0,0
2026-04-02,Thursday,1777.6271142186747,902.9360551363546,2680.5631693550295,673.564098190918,69.24488500923792,6.747388800292969,730.4263906616873,472294.5070202262,61.75515163398863,494.04121307190906,44.0,44,0,8,0,22,14,8,36,30,14,62,62,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,1,4,0,0,21,10,0,0
2026-04-03,Friday,1660.3586574862932,825.7007910716154,2486.0594485579086,600.4555443956909,73.58386876651947,8.988417270300292,859.3283933483693,364659.8744064229,64.87799807698497,519.0239846158797,45.0,45,0,5,0,25,15,5,40,30,15,65,65,baseline,manual_or_suggested_history,4,0,0,0,1,0,0,0,2,2,0,0,23,13,0,0
2026-04-04,Saturday,12.55717197891783,277.39539933682846,289.9525713157463,668.1743353493332,70.90263832119884,10.090405045807799,797.6958750563539,67856.19075434605,46.71485924036821,373.7188739229457,31.0,31,29,0,0,0,31,0,31,0,31,47,47,baseline,manual_or_suggested_history,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
2026-04-05,Sunday,97.01286577389823,47.274653918271326,144.28751969216955,662.5581561354103,70.17809902877018,6.170624449296746,794.1521649944254,395214.66715200234,42.75946756205606,342.0757404964485,29.0,29,16,0,2,0,27,2,27,0,29,43,43,baseline,manual_or_suggested_history,0,2,0,0,0,0,0,0,0,9,0,0,0,18,0,0
2026-04-06,Monday,1688.7677005920566,706.718044507739,2395.4857450997956,585.2641840011979,63.13426522383672,7.831673319806507,758.1390899664475,448144.85101065144,63.0668463377929,504.5347707023432,45.0,45,0,9,0,21,15,9,36,30,15,63,64,baseline,manual_or_suggested_history,7,0,0,0,2,0,0,0,1,1,0,0,20,14,0,0
2026-04-07,Tuesday,1823.2627473121331,944.5717496305956,2767.834496942729,690.4968831626902,63.040752525629806,7.216761743560948,729.3984006609388,449621.6117030816,56.92299566743893,455.38396533951146,41.0,41,0,9,0,19,13,9,32,28,13,57,57,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,0,1,0,0,19,12,0,0
2026-04-08,Wednesday,1816.3693280801722,941.2941783998604,2757.6635064800325,649.5577513860064,65.03836156019435,6.444159011428231,715.6998642750264,421109.8669266451,57.455821779382816,459.64657423506253,41.0,41,0,9,0,19,13,9,32,28,13,57,58,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,0,1,0,0,19,12,0,0
2026-04-09,Thursday,1701.38499297428,872.0911701429732,2573.4761631172532,670.9212035427306,65.43113657314376,6.823251115817902,703.1696853922585,471619.74228151963,60.757607651031506,486.06086120825205,43.0,43,0,8,0,24,11,8,35,32,11,61,61,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,1,1,0,0,23,10,0,0
2026-04-10,Friday,1571.222884724657,770.1075419029355,2341.3304266275927,588.3138114387489,67.39864669867323,7.919679686494133,783.8291931459577,364466.7331814818,61.41236875300384,491.2989500240307,43.0,43,0,6,0,21,16,6,37,27,16,61,62,baseline,manual_or_suggested_history,4,0,0,0,2,0,0,0,0,4,0,0,21,12,0,0
