date,customer,kmen_total_people,agency_total_people,kmen_inbound_morning,kmen_inbound_afternoon,kmen_loading_morning,kmen_loading_afternoon,kmen_pick_morning,kmen_pick_afternoon,kmen_other_morning,kmen_other_afternoon,agency_inbound_day,agency_inbound_night,agency_loading_day,agency_loading_night,agency_pick_day,agency_pick_night,agency_other_day,agency_other_night,notes,helper_binhits,helper_packing_gw_t,helper_trips_total,helper_containers_count,helper_loaded_orders,helper_loaded_gw_t,helper_inbound_kg,helper_inbound_docs,helper_packing_orders,helper_packing_pallets,helper_activity_people,helper_activity_kmen_people,helper_activity_agency_people,helper_activity_day_people,helper_activity_night_people,helper_esab_share,helper_paid_hours_total,suggested_agency_inbound_day,suggested_agency_inbound_night,suggested_agency_other_day,suggested_agency_other_night,suggested_agency_pick_day,suggested_agency_pick_night,suggested_kmen_inbound_afternoon,suggested_kmen_inbound_morning,suggested_kmen_other_afternoon,suggested_kmen_other_morning,suggested_kmen_pick_afternoon,suggested_kmen_pick_morning,suggested_kmen_loading_morning,suggested_kmen_loading_afternoon,suggested_agency_loading_day,suggested_agency_loading_night,helper_esab_paid_hours,helper_esab_fte_8h
2022-01-02,ESAB,,,,,,,,,,,,,,,,,,,,57.0,31.45688,,,,,,,,,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-01-03,ESAB,,,,,,,,,,,,,,,,,,,,2388.0,919.23006,34.0,0.0,420.0,463.9371,26057.91,63.0,337.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-01-04,ESAB,,,,,,,,,,,,,,,,,,,,2911.0,1202.73809,56.0,0.0,500.0,792.70307,68243.81999999999,112.0,483.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-01-05,ESAB,,,,,,,,,,,,,,,,,,,,2230.0,806.22758,48.0,4.0,473.0,611.3853,125968.48,122.0,462.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-01-06,ESAB,,,,,,,,,,,,,,,,,,,,1831.0,639.87094,45.0,2.0,474.0,509.14952,73196.69,53.0,454.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-01-07,ESAB,,,,,,,,,,,,,,,,,,,,1610.0,485.87509,42.0,1.0,390.0,344.26294,129977.28,81.0,385.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-01-08,ESAB,,,,,,,,,,,,,,,,,,,,169.0,49.40724,,,,,0.0,0.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-01-10,ESAB,,,,,,,,,,,,,,,,,,,,2030.0,748.791,45.0,2.0,494.0,431.38076,373021.83,95.0,492.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-01-11,ESAB,,,,,,,,,,,,,,,,,,,,1959.0,560.34603,40.0,1.0,469.0,271.66508,354469.07,80.0,460.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-01-12,ESAB,,,,,,,,,,,,,,,,,,,,1814.0,572.68133,38.0,1.0,383.0,330.7074,262243.5,121.0,405.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-01-13,ESAB,,,,,,,,,,,,,,,,,,,,2188.0,706.94089,43.0,1.0,551.0,418.58391,885569.39,119.0,546.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-01-14,ESAB,,,,,,,,,,,,,,,,,,,,2243.0,733.17974,54.0,4.0,670.0,554.95405,382963.93,130.0,668.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-01-15,ESAB,,,,,,,,,,,,,,,,,,,,299.0,88.83366,,,,,102652.2,2.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-01-17,ESAB,,,,,,,,,,,,,,,,,,,,2606.0,957.59205,55.0,4.0,654.0,597.90058,574162.84,97.0,664.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-01-18,ESAB,,,,,,,,,,,,,,,,,,,,2912.0,984.8049,55.0,2.0,523.0,600.5256899999999,386699.09,115.0,509.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
