date,packing_pallets,packing_gross_kg,outbound_gross_kg,inbound_gross_kg,handling_in_qty,handling_out_qty,inbound_docs,inbound_lines,outbound_docs,outbound_orders,wrapping_qty,net_flow_gross_kg,gross_stock_proxy_kg
2026-03-28,0.0,52418.47012659456,44166.17442672644,72986.82396933666,886.8978756582268,363.3993429061219,,,,,,28820.649542610226,9233324.589542612
2026-03-29,108.59605467240283,121967.89127216922,128038.51359700787,406097.2846702903,2011.8724700687505,0.0,,,,,,278058.77107328246,9511383.360615894
2026-03-30,281.0,319387.5,856081.8312637382,445658.5689685333,2989.790279826069,7956.468380305417,,,,,,-410423.2622952049,9100960.098320689
2026-03-31,266.0,268547.81,819521.701607223,408782.0764021923,2758.7797759033015,7155.802087250796,,,,,,-410739.6252050307,8690220.473115658
2026-04-01,72.0,73835.0,640658.7233650374,368150.357969245,2416.0558380918874,5064.714694456499,,,,,,-272508.36539579235,8417712.107719867
2026-04-02,38.0,26865.0,720270.3095871888,472294.5070202262,3747.7203584768827,8078.102032924984,,,,,,-247975.80256696255,8169736.305152903
2026-04-03,24.0,22220.0,817449.1828767653,364659.87440642284,3330.9150610212673,11275.592358686145,,,,,,-452789.3084703424,7716946.996682561
2026-04-04,0.0,0.0,0.0,67856.19075434584,1866.1606729731318,3687.087969742252,,,,,,67856.19075434584,7784803.187436907
2026-04-05,1.7844421257106262,13674.52042879883,50056.781370303695,395214.6671520024,3228.539046991934,2396.5054866641763,,,,,,345157.8857816987,8129961.0732186055
2026-04-06,5.0,2675.0,721477.1809753731,448144.8510106515,3916.470997864126,10085.014950468712,,,,,,-273332.32996472163,7856628.743253884
2026-04-07,16.0,64453.5,687002.4917466727,449621.6117030814,3776.6582190934255,9364.956013623925,,,,,,-237380.88004359126,7619247.8632102925
2026-04-08,1281.8262715315755,941296.8720480858,641873.9938944526,421109.866926645,3618.88141714808,7855.121340806146,,,,,,-220764.1269678076,7398483.736242485
2026-04-09,1321.2312527598936,880833.2652986005,668464.2293490228,471619.7422815196,4362.22406347246,8999.037547697542,,,,,,-196844.48706750327,7201639.249174982
2026-04-10,1372.546889954793,1013901.7964561884,772067.0537577744,364466.7331814817,3820.135298354076,11306.295630542234,,,,,,-407600.3205762927,6794038.928598689
