target,horizon_days,date,forecast
packing_pallets,5,2026-04-01,72.0
packing_pallets,10,2026-04-06,5.0
packing_pallets,15,2026-04-11,0.0
packing_pallets,20,2026-04-16,1316.3907117467252
packing_pallets,30,2026-04-26,8.916247567221745
packing_pallets,60,2026-05-26,1093.538874354777
packing_pallets,90,2026-06-25,1014.8661970351699
packing_gross_kg,5,2026-04-01,73835.0
packing_gross_kg,10,2026-04-06,2675.0
packing_gross_kg,15,2026-04-11,0.0
packing_gross_kg,20,2026-04-16,848518.6226442241
packing_gross_kg,30,2026-04-26,0.0
packing_gross_kg,60,2026-05-26,872112.9284106316
packing_gross_kg,90,2026-06-25,875260.4617998592
outbound_gross_kg,5,2026-04-01,640658.7233650374
outbound_gross_kg,10,2026-04-06,721477.1809753731
outbound_gross_kg,15,2026-04-11,0.0
outbound_gross_kg,20,2026-04-16,652823.3257975548
outbound_gross_kg,30,2026-04-26,2207.7586680398235
outbound_gross_kg,60,2026-05-26,595411.8637204133
outbound_gross_kg,90,2026-06-25,623777.1028005261
inbound_gross_kg,5,2026-04-01,368150.357969245
inbound_gross_kg,10,2026-04-06,448144.8510106515
inbound_gross_kg,15,2026-04-11,74287.82184644975
inbound_gross_kg,20,2026-04-16,471083.91829305456
inbound_gross_kg,30,2026-04-26,379622.2477587265
inbound_gross_kg,60,2026-05-26,409373.5897549458
inbound_gross_kg,90,2026-06-25,445956.9516379859
handling_in_qty,5,2026-04-01,2416.0558380918874
handling_in_qty,10,2026-04-06,3916.470997864126
handling_in_qty,15,2026-04-11,2153.892563916909
handling_in_qty,20,2026-04-16,4907.928890378413
handling_in_qty,30,2026-04-26,3885.4076117805325
handling_in_qty,60,2026-05-26,4479.242664384072
handling_in_qty,90,2026-06-25,4966.095568238309
handling_out_qty,5,2026-04-01,5064.714694456499
handling_out_qty,10,2026-04-06,10085.014950468712
handling_out_qty,15,2026-04-11,3887.3556042658743
handling_out_qty,20,2026-04-16,9859.246330954922
handling_out_qty,30,2026-04-26,3501.867124642555
handling_out_qty,60,2026-05-26,11403.223270665754
handling_out_qty,90,2026-06-25,12355.391487253595
net_flow_gross_kg,5,2026-04-01,-272508.36539579235
net_flow_gross_kg,10,2026-04-06,-273332.32996472163
net_flow_gross_kg,15,2026-04-11,74287.82184644975
net_flow_gross_kg,20,2026-04-16,-181739.40750450024
net_flow_gross_kg,30,2026-04-26,377414.48909068666
net_flow_gross_kg,60,2026-05-26,-186038.27396546752
net_flow_gross_kg,90,2026-06-25,-177820.1511625402
gross_stock_proxy_kg,5,2026-04-01,8417712.107719867
gross_stock_proxy_kg,10,2026-04-06,7856628.743253884
gross_stock_proxy_kg,15,2026-04-11,6868326.750445139
gross_stock_proxy_kg,20,2026-04-16,6414329.572412377
gross_stock_proxy_kg,30,2026-04-26,5692618.73201594
gross_stock_proxy_kg,60,2026-05-26,2882692.3091454506
gross_stock_proxy_kg,90,2026-06-25,46844.14384640008
