model,wape,bias,mae,n_windows,weight,target,mode
baseline,0.02904497558308618,0.01927477193678317,830.3675875285696,8,0.3333333333333333,invoice_storage_eur_pallet,weekly
internal,0.02904497558308618,0.01927477193678317,830.3675875285696,8,0.3333333333333333,invoice_storage_eur_pallet,weekly
global,0.02904497558308618,0.01927477193678317,830.3675875285696,8,0.3333333333333333,invoice_storage_eur_pallet,weekly
blend,,,,0,0.0,invoice_storage_eur_pallet,weekly
baseline,0.02486283517017487,-0.016600976861757325,133.81112002074914,8,0.3333333333333333,invoice_storage_shelf,weekly
internal,0.02486283517017487,-0.016600976861757325,133.81112002074914,8,0.3333333333333333,invoice_storage_shelf,weekly
global,0.02486283517017487,-0.016600976861757325,133.81112002074914,8,0.3333333333333333,invoice_storage_shelf,weekly
blend,,,,0,0.0,invoice_storage_shelf,weekly
internal,0.1531842422380832,-0.12378619952714158,186.05758062237584,8,0.7320048068386418,packing_pallets,daily
baseline,0.4184090032640922,-0.12975403648003683,508.1995753645664,8,0.2679951931613583,packing_pallets,daily
blend,,,,0,0.0,packing_pallets,daily
internal,0.22491301532175614,-0.19249738948835557,220885.43869462135,8,0.6607040745758477,packing_gross_kg,daily
baseline,0.4379685534462549,-0.1602310758011905,430125.7351604536,8,0.33929592542415227,packing_gross_kg,daily
blend,,,,0,0.0,packing_gross_kg,daily
global,0.21762383710110103,-0.1844624058409121,149483.45063631114,8,0.40107334573733805,outbound_gross_kg,daily
internal,0.21871403032558254,-0.18294692646948132,150232.29252434435,8,0.3990741715490517,outbound_gross_kg,daily
baseline,0.4367377341186863,-0.1577675622172152,299990.4072494397,8,0.1998524827136102,outbound_gross_kg,daily
blend,,,,0,0.0,outbound_gross_kg,daily
internal,0.3381621051610463,-0.04747816003406188,189772.4173618365,8,0.540339418166507,inbound_gross_kg,daily
baseline,0.39751573741615726,-0.04692375908333863,223080.94631984518,8,0.459660581833493,inbound_gross_kg,daily
blend,,,,0,0.0,inbound_gross_kg,daily
internal,0.6660572078707861,0.49898109628676773,2739.6098559839206,8,0.5191174919327596,handling_in_qty,daily
baseline,0.7190154381437228,0.5579425754733947,2957.436324786807,8,0.48088250806724037,handling_in_qty,daily
blend,,,,0,0.0,handling_in_qty,daily
internal,0.6169719627785532,0.5376032845401364,6682.022297078703,8,0.5811097513370588,handling_out_qty,daily
baseline,0.8559006207868806,0.577586688084734,9269.703288339191,8,0.4188902486629411,handling_out_qty,daily
blend,,,,0,0.0,handling_out_qty,daily
