date,outbound_docs,outbound_orders,outbound_qty,outbound_gross_kg,outbound_cbm,outbound_load_units,outbound_picks,outbound_full_picks,outbound_partial_picks,packing_lines,packing_orders,packing_pallets,packing_gross_kg,packing_net_kg,packing_volume_dm3,inbound_docs,inbound_avizo,inbound_articles,inbound_lines,inbound_qty,inbound_gross_kg,inbound_cbm,inbound_consumables_gross_kg,inbound_equipment_gross_kg,inbound_other_gross_kg,inbound_customs_gross_kg,inbound_unknown_gross_kg,handling_in_qty,handling_out_qty,wrapping_qty,putaway_qty,net_flow_gross_kg,net_flow_cbm
2022-01-03,421.0,421.0,78509.0,466612.26,650.167,921.0,1661.0,574.0,1087.0,1532.0,337.0,1.0,525115.06,0.0,1092512.0,63.0,62.0,112.0,293.0,39586.0,26057.91,21.846,7766.48,12723.06,0.0,0.0,31626.34,,,,,-440554.35000000003,-628.321
2022-01-04,504.0,504.0,65644.0,794373.07,970.718,1317.0,2378.0,900.0,1478.0,2373.0,483.0,1.0,1070105.91,0.0,2224805.0,112.0,112.0,117.0,344.0,17610.0,68243.81999999999,57.771,114439.8,12417.22,0.0,0.0,9630.619999999999,,,,,-726129.25,-912.947
2022-01-05,479.0,479.0,46633.0,612869.16,796.783,1092.0,1902.0,639.0,1263.0,1732.0,462.0,1.0,680146.68,0.0,1442579.0,122.0,122.0,233.0,618.0,91093.0,125968.48,135.315,127742.68,17257.68,0.0,0.0,106936.6,,,,,-486900.68000000005,-661.4680000000001
2022-01-06,484.0,484.0,80953.0,718517.52,839.419,1047.0,1933.0,643.0,1290.0,1682.0,454.0,1.0,687217.25,0.0,1377762.0,53.0,52.0,126.0,315.0,36944.0,73196.69,71.429,90528.38,9389.68,9.6,0.0,46465.72,,,,,-645320.8300000001,-767.99
2022-01-07,397.0,397.0,27397.0,370971.29,516.692,786.0,1582.0,443.0,1139.0,1632.0,385.0,1.0,478140.63,0.0,1288798.25,81.0,81.0,137.0,341.0,40213.0,129977.28,113.625,141494.24,19837.12,0.0,0.0,98623.2,,,,,-240994.00999999998,-403.067
2022-01-08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
2022-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,31.0,310.0,10350.0,292448.52,354.195,550378.88,0.0,0.0,0.0,34518.16,,,,,292448.52,354.195
2022-01-10,494.0,494.0,63676.0,431380.76,566.462,1028.0,2067.0,730.0,1337.0,2051.0,492.0,1.0,705598.36,0.0,1750659.0,95.0,95.0,128.0,646.0,38594.0,373021.83,404.33799999999997,659035.32,13832.48,0.0,0.0,73175.86,,,,,-58358.92999999999,-162.12400000000002
2022-01-11,474.0,474.0,32622.0,284602.79,357.089,764.0,1603.0,299.0,1304.0,1795.0,460.0,1.0,466320.17,0.0,1253326.0,80.0,80.0,141.0,554.0,20909.0,354469.07,429.016,616860.48,6139.0599999999995,0.0,0.0,85945.62,,,,,69866.28000000003,71.92700000000002
2022-01-12,388.0,388.0,33898.0,331006.4,409.906,768.0,1467.0,394.0,1073.0,2458.0,405.0,1.0,730762.39,0.0,1999553.0,121.0,121.0,225.0,664.0,22335.0,262243.5,298.803,459083.44,13655.32,0.0,0.0,51748.24,,,,,-68762.90000000002,-111.10300000000001
2022-01-13,557.0,557.0,42011.0,423268.63,564.609,1075.0,1910.0,523.0,1387.0,1956.0,546.0,1.0,603894.18,0.0,1393137.5,119.0,119.0,276.0,1309.0,126206.0,885569.39,1071.411,1600165.44,15741.14,19.28,0.0,155212.92,,,,,462300.76,506.802
2022-01-14,669.0,669.0,62357.0,554902.6900000001,712.706,1284.0,2508.0,682.0,1826.0,2681.0,668.0,1.0,811359.9,0.0,2147562.5,130.0,129.0,425.0,999.0,71451.0,382963.93,471.777,631022.94,12357.42,0.0,0.0,122553.04,,,,,-171938.76000000007,-240.92900000000003
2022-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,23.0,100.0,3458.0,102652.2,124.60799999999999,197182.48,0.0,0.0,0.0,8121.92,,,,,102652.2,124.60799999999999
2022-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,90.0,660.0,20651.0,600465.94,745.855,1156608.28,0.0,0.0,0.0,44323.6,,,,,600465.94,745.855
2022-01-17,664.0,664.0,48568.0,598183.05,722.24,1352.0,2448.0,780.0,1668.0,2894.0,664.0,1.0,1088586.19,0.0,2332857.0,97.0,96.0,222.0,932.0,49484.0,574162.84,638.716,939577.0,19583.38,1.82,0.0,189163.48,,,,,-24020.21000000008,-83.524
2022-01-18,531.0,531.0,38050.0,649225.93,847.216,1159.0,2160.0,704.0,1456.0,2125.0,509.0,1.0,824333.04,0.0,1658781.0,115.0,115.0,229.0,724.0,43432.0,386699.09,445.851,620797.5599999999,11048.28,0.0,0.0,141558.86,,,,,-262526.84,-401.365
2022-01-19,596.0,596.0,87205.0,375655.45,439.901,1007.0,2070.0,461.0,1609.0,2406.0,605.0,1.0,710713.49,0.0,1844414.0,107.0,105.0,231.0,1310.0,42792.0,942290.23,1142.543,1668503.34,10443.38,0.0,0.0,205633.74,,,,,566634.78,702.6419999999998
2022-01-20,620.0,620.0,54922.0,495072.44,606.838,1207.0,2273.0,633.0,1640.0,2458.0,612.0,1.0,760194.65,0.0,1890047.0,102.0,102.0,184.0,528.0,13875.0,227907.27,280.999,344775.74,11514.62,105.0,0.0,99419.18,,,,,-267165.17000000004,-325.83899999999994
2022-01-21,665.0,665.0,89158.0,696324.14,858.597,1517.0,2652.0,891.0,1761.0,2953.0,705.0,1.0,1071324.91,0.0,2156094.0,103.0,103.0,209.0,1071.0,45875.0,752772.35,874.819,1301369.0,30050.66,0.02,0.0,174125.02,,,,,56448.20999999996,16.22199999999998
2022-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,59.0,190.0,7557.0,143396.33,187.987,237958.4,0.0,0.0,0.0,48834.26,,,,,143396.33,187.987
2022-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,111.0,780.0,20776.0,677589.36,894.121,1238254.48,0.0,0.0,0.0,116924.24,,,,,677589.36,894.121
